0.20996,0.03125,-0.44873,-0.9375,-1.25,0.875,0.019043,-0.052246,0.97803,0.998305,-0.00110002,-0.00126767,0.00082246,
0.20996,0.03125,-0.44873,-0.9375,-1.25,0.875,0.019043,-0.052246,0.97803,-0.998305,0.0022013,0.00253104,-0.00164459,
0.20996,0.03125,-0.44873,-0.9375,-1.875,0.25,0.019043,-0.067871,0.99756,-0.998297,0.00292253,0.00432645,-0.00191686,
0.21484,0.041016,-0.45361,-1.3125,-2,0.125,0.026855,-0.032715,0.98975,-0.998281,0.00419559,0.00647307,-0.00203016,
0.21484,0.041016,-0.45361,-1.75,-2.125,0,0.003418,-0.032715,0.99365,0.998255,-0.00586995,-0.00874093,0.00201879,
0.21484,0.041016,-0.45361,-1.5625,-2.3125,-0.1875,0,-0.0092773,1.0205,0.998221,-0.00736948,-0.0111934,0.00182632,
0.21484,0.041016,-0.45361,-1.25,-2.1875,-0.0625,-0.0039063,-0.028809,1.0205,-0.998182,0.00857468,0.0135231,-0.00175772,
0.21484,0.041016,-0.45361,-1,-1.9375,-0.0625,0.01123,-0.032715,1.0015,-0.998143,0.0095384,0.0156085,-0.00169029,
0.21484,0.041016,-0.45361,-0.8125,-1.6875,0.0625,-0.0078125,-0.044434,1.0093,0.998111,-0.0103518,-0.0170605,0.00176335,
0.21484,0.041016,-0.45361,-0.625,-1.3125,0,0.015137,-0.032715,1.0015,0.998086,-0.0109666,-0.0181465,0.00177582,
0.2124,0.038574,-0.43848,-0.875,-1.0625,0.375,0.0073242,-0.032715,0.98193,-0.998056,0.0119776,0.0190713,-0.00208419,
0.2124,0.038574,-0.43848,-0.8125,-0.625,0.4375,0.003418,-0.024902,1.0054,-0.998038,0.0126689,0.019525,-0.00256104,
0.2124,0.038574,-0.43848,-1.1875,-0.625,0.625,-0.0039063,-0.056152,1.0127,0.998005,-0.0138202,-0.0203141,0.00309503,
0.20508,0.03125,-0.43848,-1.4375,-0.6875,0.625,0.022949,-0.040527,1.0093,0.997968,-0.015398,-0.0208898,0.00363795,
