0.20996,0.03125,-0.44873,-0.9375,-1.25,0.875,0.019043,-0.052246,0.97803
0.20996,0.03125,-0.44873,-0.9375,-1.25,0.875,0.019043,-0.052246,0.97803
0.20996,0.03125,-0.44873,-0.9375,-1.875,0.25,0.019043,-0.067871,0.99756
0.21484,0.041016,-0.45361,-1.3125,-2,0.125,0.026855,-0.032715,0.98975
0.21484,0.041016,-0.45361,-1.75,-2.125,0,0.003418,-0.032715,0.99365
0.21484,0.041016,-0.45361,-1.5625,-2.3125,-0.1875,0,-0.0092773,1.0205
0.21484,0.041016,-0.45361,-1.25,-2.1875,-0.0625,-0.0039063,-0.028809,1.0205
0.21484,0.041016,-0.45361,-1,-1.9375,-0.0625,0.01123,-0.032715,1.0015
0.21484,0.041016,-0.45361,-0.8125,-1.6875,0.0625,-0.0078125,-0.044434,1.0093
0.21484,0.041016,-0.45361,-0.625,-1.3125,0,0.015137,-0.032715,1.0015
0.2124,0.038574,-0.43848,-0.875,-1.0625,0.375,0.0073242,-0.032715,0.98193
0.2124,0.038574,-0.43848,-0.8125,-0.625,0.4375,0.003418,-0.024902,1.0054
0.2124,0.038574,-0.43848,-1.1875,-0.625,0.625,-0.0039063,-0.056152,1.0127
0.20508,0.03125,-0.43848,-1.4375,-0.6875,0.625,0.022949,-0.040527,1.0093
0.20508,0.03125,-0.43848,-1.625,-1.0625,0.8125,0,-0.052246,0.98584
0.20508,0.03125,-0.43848,-1.625,-1,0.6875,0.030762,-0.040527,0.99365
0.20508,0.03125,-0.43848,-2,-0.875,0.625,0.019043,-0.060059,0.98975
0.20996,0.038574,-0.44141,-2.6875,-1.1875,0.625,0.019043,-0.044434,1.0054
0.20996,0.038574,-0.44141,-2.875,-1.3125,0.625,0.022949,-0.060059,1.0093
0.20996,0.038574,-0.44141,-3.125,-1.375,0.875,0.0073242,-0.032715,1.0015
0.20215,0.025879,-0.44385,-2.875,-1.9375,0.75,0.026855,-0.067871,1.0054
0.20215,0.025879,-0.44385,-2.75,-2.375,0.5625,0.035156,-0.060059,0.97412
0.20215,0.025879,-0.44385,-2.5,-2.75,0.75,0.022949,-0.044434,0.98584
0.20215,0.025879,-0.44385,-2.25,-3.125,0.8125,0.01123,-0.052246,1.0054
0.20215,0.025879,-0.44385,-2.125,-3,1.0625,-0.0039063,-0.052246,1.0015
0.20215,0.025879,-0.44385,-2.0625,-2.5,1.1875,0.022949,-0.052246,1.0054
