0.214844,0.0410156,-0.453613,-1.75,-2.125,0,0.00341797,-0.0327148,0.993652,0.999999,-0.000935276,-0.000432392,-0.00020966,-0.00187037,-0.000865176,-0.00041851,1,-0.000627009,-0.000402806,-8.17356e-05,-0.00125395,-0.000805714,-0.000162966,
0.214844,0.0410156,-0.453613,-0.625,-1.3125,0,0.0151367,-0.0327148,1.00146,0.999998,-0.00166467,-0.000787549,-0.000418806,-0.00332868,-0.00157649,-0.000834989,0.999999,-0.001049,-0.000713656,-0.000162396,-0.00209777,-0.00142765,-0.000323295,
0.205078,0.03125,-0.438477,-1.625,-1.0625,0.8125,0,-0.0522461,0.98584,0.999996,-0.00259523,-0.000987039,-0.000437968,-0.0051896,-0.00197635,-0.000870812,0.999998,-0.00166143,-0.000901475,-7.59848e-05,-0.00332274,-0.0018032,-0.000148974,
0.209961,0.0385742,-0.441406,-3.125,-1.375,0.875,0.00732422,-0.0327148,1.00146,0.999992,-0.00376789,-0.00129927,-0.000499604,-0.00753452,-0.00260229,-0.000989413,0.999996,-0.00252697,-0.00118383,-6.47689e-06,-0.00505395,-0.00236769,-6.97073e-06,
0.202148,0.0258789,-0.443848,-2.125,-3,1.0625,-0.00390625,-0.0522461,1.00146,0.999987,-0.00478944,-0.00178956,-0.000456297,-0.00957734,-0.00358344,-0.000895446,0.999993,-0.00322708,-0.00168307,0.000131997,-0.00645465,-0.00336527,0.000274857,
0.214844,0.0361328,-0.446289,-1.625,-1.3125,0.3125,0.00341797,-0.0561523,0.98584,0.999981,-0.00571691,-0.00204234,-0.000572981,-0.0114316,-0.00409116,-0.0011226,0.999991,-0.00383856,-0.0019216,0.000127166,-0.00767768,-0.00384221,0.000269084,
0.202148,0.0209961,-0.443848,-1.5625,0.25,-0.375,0.0112305,-0.0600586,0.993652,0.999976,-0.006643,-0.00206775,-0.000750983,-0.0132831,-0.0041454,-0.00147447,0.999988,-0.00444029,-0.00191699,2.54226e-05,-0.00888075,-0.00383372,6.78692e-05,
0.205078,0.0385742,-0.446289,-2,1,0.625,0.0112305,-0.0600586,0.989746,0.999969,-0.00763372,-0.00196208,-0.000810635,-0.0152645,-0.00393642,-0.00159128,0.999985,-0.00511545,-0.00178129,7.51634e-05,-0.0102313,-0.00356177,0.00016855,
0.202148,0.0258789,-0.446289,-1.4375,-1.1875,0.75,0.0151367,-0.0561523,0.993652,0.999961,-0.00852881,-0.00227616,-0.000813418,-0.0170542,-0.00456604,-0.00158796,0.999982,-0.00569099,-0.00205004,0.00016227,-0.0113828,-0.00409818,0.00034787,
0.205078,0.0209961,-0.451172,-1.375,-1.6875,0.5625,0.019043,-0.0639648,1.01269,0.999952,-0.0094137,-0.00270665,-0.000814031,-0.0188235,-0.00542839,-0.00157705,0.999978,-0.00625443,-0.00241821,0.000229083,-0.0125102,-0.00483347,0.000488411,
