1,-0.00040345,-0.00012231,-6.0888e-05
1,-0.0008069,-0.00024448,-0.00012189
1,-0.0012146,-0.00037793,-0.00019435
1,-0.0016133,-0.00056027,-0.00030948
1,-0.0020417,-0.00066461,-0.00043448
1,-0.0024506,-0.00076665,-0.00060072
1,-0.0028607,-0.00084396,-0.00073501
0.99999,-0.0032598,-0.00096918,-0.00086311
0.99999,-0.0036605,-0.0010128,-0.00097617
0.99999,-0.0040439,-0.0011311,-0.0011026
0.99999,-0.0044401,-0.0012094,-0.0012187
0.99999,-0.0048305,-0.0012577,-0.0013462
0.99998,-0.0052469,-0.0012731,-0.001431
0.99998,-0.0056564,-0.0014029,-0.0015158
0.99998,-0.0060907,-0.0014389,-0.0015835
0.99998,-0.0064951,-0.0016147,-0.0016633
0.99997,-0.0069368,-0.0017182,-0.0017292
0.99997,-0.0073926,-0.0018391,-0.0018237
0.99997,-0.0078589,-0.0019666,-0.0019026
0.99996,-0.0083301,-0.0020492,-0.0020082
0.99996,-0.0087983,-0.00222,-0.0020496
0.99995,-0.0092453,-0.0024525,-0.0020992
0.99995,-0.0096909,-0.002667,-0.0021632
0.99994,-0.010147,-0.0028143,-0.0022189
0.99994,-0.010598,-0.0028635,-0.0022648
0.99993,-0.011034,-0.0030582,-0.0023057
0.99993,-0.011488,-0.0031241,-0.0023402
0.99992,-0.011926,-0.0032697,-0.0024137
0.99991,-0.012361,-0.0033663,-0.0025258
0.99991,-0.012792,-0.0034049,-0.0026197
0.9999,-0.013184,-0.0035154,-0.0027699
0.9999,-0.013597,-0.0036316,-0.0028931
0.99989,-0.014001,-0.0035457,-0.0030215
0.99988,-0.01443,-0.0035253,-0.0031247
0.99988,-0.014868,-0.0035534,-0.0031887
0.99987,-0.015307,-0.0034966,-0.0032677
0.99986,-0.015758,-0.0034153,-0.0033249
0.99986,-0.016209,-0.0033672,-0.0034335
0.99985,-0.016654,-0.0032728,-0.0035424
0.99984,-0.017096,-0.0032742,-0.0036266
0.99983,-0.017524,-0.0032852,-0.0037112
0.99983,-0.017903,-0.0034353,-0.0037773
0.99982,-0.018291,-0.0035717,-0.0038662
0.99981,-0.018652,-0.0037396,-0.0039977
0.9998,-0.019006,-0.0040081,-0.004027
0.99979,-0.01943,-0.0041314,-0.0040739
0.99979,-0.019864,-0.0042878,-0.0040976
0.99978,-0.019938,-0.004748,-0.0041059
0.99977,-0.020301,-0.0050777,-0.0041034
0.99978,-0.019979,-0.0051962,-0.004134
0.99977,-0.020398,-0.0053712,-0.0041303
0.99976,-0.02076,-0.0056302,-0.0041477
0.99977,-0.020505,-0.0053981,-0.0041556
0.99977,-0.020265,-0.0057294,-0.0041877
0.99976,-0.020627,-0.0058198,-0.0043133
0.99975,-0.020996,-0.0058239,-0.0044373
0.99974,-0.02139,-0.0059011,-0.0045358
0.99973,-0.021811,-0.005954,-0.0046422
0.99972,-0.022147,-0.0061633,-0.0048103
0.99972,-0.022158,-0.006429,-0.0051015
0.99971,-0.022568,-0.0065444,-0.0052143
0.9997,-0.022973,-0.0066729,-0.0053799
0.99969,-0.023399,-0.0067981,-0.0055485
0.99968,-0.02384,-0.0067986,-0.0057339
0.99967,-0.02423,-0.0066468,-0.005888
